dataset,model,split,scene,frames,iou,dice,precision,recall,failure,boundary_f1,component_count,pred_gt_area_ratio,bbox_iou
MoCH,ZoomNeXt_Baseline,Train,v_16_17,22,0.13212823508085986,0.20494541104065608,0.9387470692703204,0.13835383193574421,0.7727272727272727,0.037779338954973395,1.1363636363636365,0.15621333512068103,0.15895465786736043
MoCH,ZoomNeXt_Baseline,Train,v_16_2,33,0.06659865448286255,0.08393659718229123,0.200600031353064,0.07651391383376055,0.9090909090909091,0.03711911356632861,1.2727272727272727,0.19414592697427602,0.08678013880217687
MoCH,ZoomNeXt_Baseline,Train,v_16_4,34,0.00814671333662266,0.013814376581464522,0.05401741986440306,0.008290348950071955,1.0,0.009435025551801387,1.0294117647058822,0.07688129718535659,0.008693548915413976
MoCH,ZoomNeXt_Baseline,Train,v_16_7,47,0.22749500017065213,0.25785508592603373,0.3166241027873934,0.24148085375762393,0.723404255319149,0.10718874394053773,1.2127659574468086,0.2830054211747012,0.24433221819571552
MoCH,ZoomNeXt_Baseline,Train,v_16_8,39,0.27692025743231113,0.3329092022522077,0.3865918776792095,0.3057326797749841,0.5897435897435898,0.10884715438995653,2.1794871794871793,0.38327400654288735,0.3023467941853187
MoCH,ZoomNeXt_Baseline,Train,v_16_9,34,0.2060988122682432,0.2643184032725481,0.6606003529353011,0.22092087408603503,0.7352941176470589,0.09139244155500327,1.1176470588235294,0.25701890754633255,0.24119097822920868
MoCH,ZoomNeXt_Baseline,Train,v_17_0,36,0.17234753539762346,0.27019123921043614,0.5958701872665849,0.1789134430569728,0.7777777777777778,0.09608463686354088,2.861111111111111,0.4540798737627163,0.2241793669953941
MoCH,ZoomNeXt_Baseline,Validation,v_0_0,80,0.011255894481642745,0.02087132497390296,0.234753944376567,0.011284236592693373,1.0,0.014806631833850817,1.075,0.03278245209856881,0.017221253238015127
MoCH,ZoomNeXt_Baseline,Validation,v_12_1,22,0.7631855264062829,0.8476123755576982,0.9620194219149998,0.7919090693052172,0.045454545454545456,0.5291582081978611,1.0909090909090908,0.8265136180370006,0.7823672546630795
MoCH,ZoomNeXt_Baseline,Validation,v_13_10,33,0.9127643581555884,0.9541931331229775,0.9476833869266283,0.9613928646628108,0.0,0.7090579300613011,1.0,1.0153393659537644,0.9561731606835879
MoCH,ZoomNeXt_Baseline,Validation,v_13_13_2,38,0.7773118351405854,0.8506213878295877,0.9773898005968098,0.7958929529031293,0.05263157894736842,0.547813281306015,1.5,0.8169316801394552,0.8571128397738071
MoCH,ZoomNeXt_Baseline,Validation,v_13_14,21,0.9022497940776711,0.9484355200048905,0.9512695241915304,0.9462782116934408,0.0,0.652844071383521,1.0,0.9959307103187642,0.9193089063337374
MoCH,ZoomNeXt_Baseline,Validation,v_13_25,42,0.9221797434534283,0.9593425822325818,0.92933818564303,0.9917794195812876,0.0,0.5449556856500869,1.0714285714285714,1.0680411077184755,0.9570072005668248
MoCH,ZoomNeXt_Baseline,Validation,v_13_26,36,0.7083753730678657,0.8218005355944972,0.8741311015238518,0.7898682812664204,0.0,0.3127915510104267,1.2222222222222223,0.9068489809202624,0.7405531846811461
MoCH,ZoomNeXt_Baseline,Validation,v_13_48,34,0.8326529332744899,0.9043976082095431,0.9416439690437783,0.8795957753032482,0.0,0.6764450271436028,1.0294117647058822,0.9351842827419945,0.8634728217755472
MoCH,ZoomNeXt_Baseline,Validation,v_16_0,23,0.0018258480983447938,0.003504525383526011,0.0434301121864317,0.0018259331084992934,1.0,0.0052273117500047685,1.7391304347826086,0.034113520469730166,0.001320628748125937
MoCH,ZoomNeXt_Baseline,Validation,v_16_11,56,0.11678028785294449,0.1500965642463609,0.1675744711758604,0.14314730238519488,0.8035714285714286,0.04853274446749069,1.4107142857142858,0.2855285615769709,0.09461788748056696
MoCH,ZoomNeXt_Baseline,Validation,v_16_12,52,0.37877071101489157,0.47125447218251215,0.9020938368820643,0.39670238061468893,0.46153846153846156,0.15709447066815144,1.6730769230769231,0.4225324010735004,0.43108082530574193
MoCH,ZoomNeXt_Baseline,Validation,v_16_20,35,0.0,0.0,0.0,0.0,1.0,0.0,1.2571428571428571,0.17613607611199347,0.0
MoCH,ZoomNeXt-CamLock,Test,v_12_15,22,0.2478198429518831,0.3951494309578631,0.995602772965988,0.24809738061621964,0.8636363636363636,0.1492098513481892,3.4545454545454546,0.24918878499554253,0.3892544002365588
MoCH,ZoomNeXt-CamLock,Test,v_12_3,19,0.8404071047642868,0.911422884426013,0.9710616034995682,0.862413355856677,0.0,0.3742411824292387,1.1578947368421053,0.8883542645417538,0.8813737249628619
MoCH,ZoomNeXt-CamLock,Test,v_13_11,18,0.9060441960364574,0.9505524343514747,0.9282745804464708,0.974545983561651,0.0,0.470549122121431,1.5,1.0508668125978522,0.8987380814356182
MoCH,ZoomNeXt-CamLock,Test,v_13_12,36,0.5424420149532891,0.6865327210660994,0.5511670022751061,0.972668251673631,0.0,0.29628118497324624,1.7777777777777777,1.9482465192901555,0.6938158642889053
MoCH,ZoomNeXt-CamLock,Test,v_13_13,28,0.394687242945846,0.5640403178689398,0.6765005687321546,0.510558555468307,0.03571428571428571,0.12296133689229959,1.3571428571428572,0.828142458976448,0.4034939566545429
MoCH,ZoomNeXt-CamLock,Test,v_13_17,47,0.18227999507653836,0.2541483246709374,0.23597547311078737,0.2987904670709309,0.6382978723404256,0.08027419112309132,3.0638297872340425,1.044441143823287,0.1686717516226067
